ID  MINE      GT       VEL   DUR    GROUP_ID
0  Fixation  Fixation  nan  1783.0  1
1  Fixation  Fixation  5.3  1783.0  1
2  Fixation  Fixation  0.0  1783.0  1
3  Fixation  Fixation  2.5  1783.0  1
4  Fixation  Fixation  9.6  1783.0  1
5  Fixation  Fixation  0.0  1783.0  1
6  Fixation  Fixation  1.6  1783.0  1
7  Fixation  Fixation  0.0  1783.0  1
8  Fixation  Fixation  6.0  1783.0  1
9  Fixation  Fixation  0.3  1783.0  1
10  Fixation  Fixation  2.3  1783.0  1
11  Fixation  Fixation  5.3  1783.0  1
12  Fixation  Fixation  5.8  1783.0  1
13  Fixation  Fixation  5.8  1783.0  1
14  Fixation  Fixation  2.9  1783.0  1
15  Fixation  Fixation  3.1  1783.0  1
16  Fixation  Fixation  0.0  1783.0  1
17  Fixation  Fixation  5.8  1783.0  1
18  Fixation  Fixation  5.1  1783.0  1
19  Fixation  Fixation  2.0  1783.0  1
20  Fixation  Fixation  4.8  1783.0  1
21  Fixation  Fixation  0.0  1783.0  1
22  Fixation  Fixation  6.4  1783.0  1
23  Fixation  Fixation  0.0  1783.0  1
24  Fixation  Fixation  6.6  1783.0  1
25  Fixation  Fixation  0.0  1783.0  1
26  Fixation  Fixation  9.6  1783.0  1
27  Fixation  Fixation  6.0  1783.0  1
28  Fixation  Fixation  3.5  1783.0  1
29  Fixation  Fixation  5.9  1783.0  1
30  Fixation  Fixation  3.9  1783.0  1
31  Fixation  Fixation  1.9  1783.0  1
32  Fixation  Fixation  4.3  1783.0  1
33  Fixation  Fixation  1.2  1783.0  1
34  Fixation  Fixation  0.4  1783.0  1
35  Fixation  Fixation  2.2  1783.0  1
36  Fixation  Fixation  0.1  1783.0  1
37  Fixation  Fixation  9.0  1783.0  1
38  Fixation  Fixation  0.0  1783.0  1
39  Fixation  Fixation  10.0  1783.0  1
40  Fixation  Fixation  0.1  1783.0  1
41  Fixation  Fixation  0.1  1783.0  1
42  Fixation  Fixation  3.6  1783.0  1
43  Fixation  Fixation  1.3  1783.0  1
44  Fixation  Fixation  0.0  1783.0  1
45  Fixation  Fixation  5.4  1783.0  1
46  Fixation  Fixation  1.4  1783.0  1
47  Fixation  Fixation  0.0  1783.0  1
48  Fixation  Fixation  15.6  1783.0  1
49  Fixation  Fixation  1.2  1783.0  1
50  Fixation  Fixation  8.6  1783.0  1
51  Fixation  Fixation  1.2  1783.0  1
52  Fixation  Fixation  5.5  1783.0  1
53  Fixation  Fixation  4.2  1783.0  1
54  Fixation  Fixation  9.3  1783.0  1
55  Fixation  Fixation  5.7  1783.0  1
56  Fixation  Fixation  1.4  1783.0  1
57  Fixation  Fixation  1.3  1783.0  1
58  Fixation  Fixation  7.7  1783.0  1
59  Fixation  Fixation  3.9  1783.0  1
60  Fixation  Fixation  0.0  1783.0  1
61  Fixation  Fixation  4.8  1783.0  1
62  Fixation  Fixation  1.9  1783.0  1
63  Fixation  Fixation  4.9  1783.0  1
64  Fixation  Fixation  0.0  1783.0  1
65  Fixation  Fixation  10.9  1783.0  1
66  Fixation  Fixation  2.5  1783.0  1
67  Fixation  Fixation  0.1  1783.0  1
68  Fixation  Fixation  6.0  1783.0  1
69  Fixation  Fixation  2.9  1783.0  1
70  Fixation  Fixation  3.4  1783.0  1
71  Fixation  Fixation  4.8  1783.0  1
72  Fixation  Fixation  2.3  1783.0  1
73  Fixation  Fixation  0.9  1783.0  1
74  Fixation  Fixation  4.2  1783.0  1
75  Fixation  Fixation  4.0  1783.0  1
76  Fixation  Fixation  3.8  1783.0  1
77  Fixation  Fixation  3.3  1783.0  1
78  Fixation  Fixation  0.0  1783.0  1
79  Fixation  Fixation  0.0  1783.0  1
80  Fixation  Fixation  3.6  1783.0  1
81  Fixation  Fixation  5.2  1783.0  1
82  Fixation  Fixation  1.4  1783.0  1
83  Fixation  Fixation  7.6  1783.0  1
84  Fixation  Fixation  0.0  1783.0  1
85  Fixation  Fixation  7.6  1783.0  1
86  Fixation  Fixation  1.2  1783.0  1
87  Fixation  Fixation  0.5  1783.0  1
88  Fixation  Fixation  13.1  1783.0  1
89  Fixation  Fixation  0.7  1783.0  1
90  Fixation  Fixation  4.7  1783.0  1
91  Fixation  Fixation  5.2  1783.0  1
92  Fixation  Fixation  23.7  1783.0  1
93  Fixation  Fixation  1.6  1783.0  1
94  Fixation  Fixation  6.5  1783.0  1
95  Fixation  Fixation  1.1  1783.0  1
96  Fixation  Fixation  2.9  1783.0  1
97  Fixation  Fixation  2.3  1783.0  1
98  Fixation  Fixation  0.5  1783.0  1
99  Fixation  Fixation  4.7  1783.0  1
100  Fixation  Fixation  0.4  1783.0  1
101  Fixation  Fixation  2.5  1783.0  1
102  Fixation  Fixation  14.1  1783.0  1
103  Fixation  Fixation  2.8  1783.0  1
104  Fixation  Fixation  3.6  1783.0  1
105  Fixation  Fixation  1.4  1783.0  1
106  Fixation  Fixation  14.9  1783.0  1
107  Saccade  Saccade  141.6  17.0  1
108  EyesNotFound  EyesNotFound  nan  83.0  1
109  EyesNotFound  EyesNotFound  nan  83.0  1
110  EyesNotFound  EyesNotFound  nan  83.0  1
111  EyesNotFound  EyesNotFound  nan  83.0  1
112  EyesNotFound  EyesNotFound  nan  83.0  1
113  Saccade  Saccade  nan  50.0  2
114  Saccade  Saccade  455.9  50.0  2
115  Saccade  Saccade  144.6  50.0  2
116  Fixation  Fixation  0.0  1750.0  2
117  Fixation  Fixation  20.5  1750.0  2
118  Fixation  Fixation  5.3  1750.0  2
119  Fixation  Fixation  0.0  1750.0  2
120  Fixation  Fixation  17.6  1750.0  2
121  Fixation  Fixation  9.6  1750.0  2
122  Fixation  Fixation  0.0  1750.0  2
123  Fixation  Fixation  2.0  1750.0  2
124  Fixation  Fixation  7.1  1750.0  2
125  Fixation  Fixation  0.0  1750.0  2
126  Fixation  Fixation  9.3  1750.0  2
127  Fixation  Fixation  0.4  1750.0  2
128  Fixation  Fixation  4.9  1750.0  2
129  Fixation  Fixation  2.4  1750.0  2
130  Fixation  Fixation  10.2  1750.0  2
131  Fixation  Fixation  2.6  1750.0  2
132  Fixation  Fixation  3.3  1750.0  2
133  Fixation  Fixation  4.4  1750.0  2
134  Fixation  Fixation  1.9  1750.0  2
135  Fixation  Fixation  0.0  1750.0  2
136  Fixation  Fixation  0.9  1750.0  2
137  Fixation  Fixation  10.3  1750.0  2
138  Fixation  Fixation  0.0  1750.0  2
139  Fixation  Fixation  8.3  1750.0  2
140  Fixation  Fixation  3.9  1750.0  2
141  Fixation  Fixation  6.4  1750.0  2
142  Fixation  Fixation  1.8  1750.0  2
143  Fixation  Fixation  0.9  1750.0  2
144  Fixation  Fixation  0.0  1750.0  2
145  Fixation  Fixation  11.2  1750.0  2
146  Fixation  Fixation  6.9  1750.0  2
147  Fixation  Fixation  3.1  1750.0  2
148  Fixation  Fixation  0.0  1750.0  2
149  Fixation  Fixation  10.2  1750.0  2
150  Fixation  Fixation  6.6  1750.0  2
151  Fixation  Fixation  2.5  1750.0  2
152  Fixation  Fixation  7.1  1750.0  2
153  Fixation  Fixation  1.1  1750.0  2
154  Fixation  Fixation  4.9  1750.0  2
155  Fixation  Fixation  2.6  1750.0  2
156  Fixation  Fixation  3.1  1750.0  2
157  Fixation  Fixation  7.6  1750.0  2
158  Fixation  Fixation  0.3  1750.0  2
159  Fixation  Fixation  12.8  1750.0  2
160  Fixation  Fixation  3.5  1750.0  2
161  Fixation  Fixation  8.4  1750.0  2
162  Fixation  Fixation  0.0  1750.0  2
163  Fixation  Fixation  1.0  1750.0  2
164  Fixation  Fixation  3.0  1750.0  2
165  Fixation  Fixation  2.4  1750.0  2
166  Fixation  Fixation  0.5  1750.0  2
167  Fixation  Fixation  0.6  1750.0  2
168  Fixation  Fixation  1.0  1750.0  2
169  Fixation  Fixation  5.2  1750.0  2
170  Fixation  Fixation  6.7  1750.0  2
171  Fixation  Fixation  10.5  1750.0  2
172  Fixation  Fixation  1.9  1750.0  2
173  Fixation  Fixation  2.6  1750.0  2
174  Fixation  Fixation  2.1  1750.0  2
175  Fixation  Fixation  2.8  1750.0  2
176  Fixation  Fixation  4.5  1750.0  2
177  Fixation  Fixation  19.9  1750.0  2
178  Fixation  Fixation  7.2  1750.0  2
179  Fixation  Fixation  1.1  1750.0  2
180  Fixation  Fixation  1.3  1750.0  2
181  Fixation  Fixation  4.9  1750.0  2
182  Fixation  Fixation  4.3  1750.0  2
183  Fixation  Fixation  1.8  1750.0  2
184  Fixation  Fixation  4.1  1750.0  2
185  Fixation  Fixation  11.1  1750.0  2
186  Fixation  Fixation  4.9  1750.0  2
187  Fixation  Fixation  5.4  1750.0  2
188  Fixation  Fixation  0.0  1750.0  2
189  Fixation  Fixation  1.6  1750.0  2
190  Fixation  Fixation  2.2  1750.0  2
191  Fixation  Fixation  0.0  1750.0  2
192  Fixation  Fixation  0.0  1750.0  2
193  Fixation  Fixation  1.9  1750.0  2
194  Fixation  Fixation  3.1  1750.0  2
195  Fixation  Fixation  3.0  1750.0  2
196  Fixation  Fixation  3.1  1750.0  2
197  Fixation  Fixation  3.8  1750.0  2
198  Fixation  Fixation  1.5  1750.0  2
199  Fixation  Fixation  0.0  1750.0  2
200  Fixation  Fixation  4.2  1750.0  2
201  Fixation  Fixation  4.2  1750.0  2
202  Fixation  Fixation  0.0  1750.0  2
203  Fixation  Fixation  2.2  1750.0  2
204  Fixation  Fixation  1.1  1750.0  2
205  Fixation  Fixation  0.2  1750.0  2
206  Fixation  Fixation  0.4  1750.0  2
207  Fixation  Fixation  4.6  1750.0  2
208  Fixation  Fixation  8.1  1750.0  2
209  Fixation  Fixation  5.4  1750.0  2
210  Fixation  Fixation  6.4  1750.0  2
211  Fixation  Fixation  4.5  1750.0  2
212  Fixation  Fixation  0.0  1750.0  2
213  Fixation  Fixation  3.2  1750.0  2
214  Fixation  Fixation  2.0  1750.0  2
215  Fixation  Fixation  13.2  1750.0  2
216  Fixation  Fixation  1.9  1750.0  2
217  Fixation  Fixation  0.0  1750.0  2
218  Fixation  Fixation  9.5  1750.0  2
219  Fixation  Fixation  8.0  1750.0  2
220  Fixation  Fixation  7.6  1750.0  2
221  Saccade  Saccade  46.4  34.0  3
222  Saccade  Saccade  37.9  34.0  3
223  Fixation  Fixation  4.6  166.0  3
224  Fixation  Fixation  0.5  166.0  3
225  Fixation  Fixation  1.9  166.0  3
226  Fixation  Fixation  6.1  166.0  3
227  Fixation  Fixation  0.0  166.0  3
228  Fixation  Fixation  1.8  166.0  3
229  Fixation  Fixation  10.6  166.0  3
230  Fixation  Fixation  11.3  166.0  3
231  Fixation  Fixation  2.2  166.0  3
232  Fixation  Fixation  3.5  166.0  3
233  Saccade  Saccade  44.4  17.0  4
234  Fixation  Fixation  2.1  267.0  4
235  Fixation  Fixation  0.0  267.0  4
236  Fixation  Fixation  3.9  267.0  4
237  Fixation  Fixation  6.3  267.0  4
238  Fixation  Fixation  3.7  267.0  4
239  Fixation  Fixation  0.3  267.0  4
240  Fixation  Fixation  5.3  267.0  4
241  Fixation  Fixation  3.7  267.0  4
242  Fixation  Fixation  16.1  267.0  4
243  Fixation  Fixation  11.5  267.0  4
244  Fixation  Fixation  6.8  267.0  4
245  Fixation  Fixation  4.9  267.0  4
246  Fixation  Fixation  18.2  267.0  4
247  Fixation  Fixation  2.3  267.0  4
248  Fixation  Fixation  4.3  267.0  4
249  Fixation  Fixation  4.2  267.0  4
250  Saccade  Saccade  112.1  33.0  5
251  Saccade  Saccade  142.2  33.0  5
252  Fixation  Fixation  28.7  617.0  5
253  Fixation  Fixation  2.6  617.0  5
254  Fixation  Fixation  3.3  617.0  5
255  Fixation  Fixation  6.1  617.0  5
256  Fixation  Fixation  10.3  617.0  5
257  Fixation  Fixation  1.4  617.0  5
258  Fixation  Fixation  6.5  617.0  5
259  Fixation  Fixation  3.5  617.0  5
260  Fixation  Fixation  6.9  617.0  5
261  Fixation  Fixation  8.5  617.0  5
262  Fixation  Fixation  4.8  617.0  5
263  Fixation  Fixation  0.0  617.0  5
264  Fixation  Fixation  2.0  617.0  5
265  Fixation  Fixation  6.1  617.0  5
266  Fixation  Fixation  0.6  617.0  5
267  Fixation  Fixation  13.5  617.0  5
268  Fixation  Fixation  12.5  617.0  5
269  Fixation  Fixation  6.8  617.0  5
270  Fixation  Fixation  1.9  617.0  5
271  Fixation  Fixation  2.0  617.0  5
272  Fixation  Fixation  1.1  617.0  5
273  Fixation  Fixation  0.0  617.0  5
274  Fixation  Fixation  1.1  617.0  5
275  Fixation  Fixation  6.3  617.0  5
276  Fixation  Fixation  6.6  617.0  5
277  Fixation  Fixation  2.1  617.0  5
278  Fixation  Fixation  9.9  617.0  5
279  Fixation  Fixation  3.3  617.0  5
280  Fixation  Fixation  6.4  617.0  5
281  Fixation  Fixation  5.7  617.0  5
282  Fixation  Fixation  0.0  617.0  5
283  Fixation  Fixation  4.7  617.0  5
284  Fixation  Fixation  3.9  617.0  5
285  Fixation  Fixation  9.4  617.0  5
286  Fixation  Fixation  2.1  617.0  5
287  Fixation  Fixation  1.7  617.0  5
288  Fixation  Fixation  5.3  617.0  5
289  Saccade  Saccade  163.2  50.0  6
290  Saccade  Saccade  128.0  50.0  6
291  Saccade  Saccade  69.3  50.0  6
292  Fixation  Fixation  6.7  250.0  6
293  Fixation  Fixation  6.4  250.0  6
294  Fixation  Fixation  0.0  250.0  6
295  Fixation  Fixation  5.0  250.0  6
296  Fixation  Fixation  5.3  250.0  6
297  Fixation  Fixation  0.3  250.0  6
298  Fixation  Fixation  4.8  250.0  6
299  Fixation  Fixation  4.5  250.0  6
300  Fixation  Fixation  1.5  250.0  6
301  Fixation  Fixation  3.9  250.0  6
302  Fixation  Fixation  2.0  250.0  6
303  Fixation  Fixation  7.2  250.0  6
304  Fixation  Fixation  3.7  250.0  6
305  Fixation  Fixation  7.0  250.0  6
306  Fixation  Fixation  3.7  250.0  6
307  Saccade  Saccade  114.5  33.0  7
308  Saccade  Saccade  121.8  33.0  7
309  Fixation  Fixation  17.9  217.0  7
310  Fixation  Fixation  1.5  217.0  7
311  Fixation  Fixation  0.1  217.0  7
312  Fixation  Fixation  2.0  217.0  7
313  Fixation  Fixation  0.0  217.0  7
314  Fixation  Fixation  9.5  217.0  7
315  Fixation  Fixation  4.9  217.0  7
316  Fixation  Fixation  0.4  217.0  7
317  Fixation  Fixation  0.7  217.0  7
318  Fixation  Fixation  1.2  217.0  7
319  Fixation  Fixation  1.4  217.0  7
320  Fixation  Fixation  2.3  217.0  7
321  Fixation  Fixation  6.2  217.0  7
322  Saccade  Saccade  159.6  50.0  8
323  Saccade  Saccade  176.0  50.0  8
324  Saccade  Saccade  41.1  50.0  8
325  Fixation  Fixation  3.3  616.0  8
326  Fixation  Fixation  2.3  616.0  8
327  Fixation  Fixation  2.2  616.0  8
328  Fixation  Fixation  5.0  616.0  8
329  Fixation  Fixation  0.4  616.0  8
330  Fixation  Fixation  3.0  616.0  8
331  Fixation  Fixation  5.7  616.0  8
332  Fixation  Fixation  6.6  616.0  8
333  Fixation  Fixation  4.8  616.0  8
334  Fixation  Fixation  9.7  616.0  8
335  Fixation  Fixation  4.3  616.0  8
336  Fixation  Fixation  3.9  616.0  8
337  Fixation  Fixation  4.8  616.0  8
338  Fixation  Fixation  5.0  616.0  8
339  Fixation  Fixation  0.0  616.0  8
340  Fixation  Fixation  3.3  616.0  8
341  Fixation  Fixation  1.4  616.0  8
342  Fixation  Fixation  3.0  616.0  8
343  Fixation  Fixation  3.9  616.0  8
344  Fixation  Fixation  26.1  616.0  8
345  Fixation  Fixation  17.0  616.0  8
346  Fixation  Fixation  1.4  616.0  8
347  Fixation  Fixation  8.4  616.0  8
348  Fixation  Fixation  6.6  616.0  8
