ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
0  Fixation  Fixation  nan   nan  17.0  1
1  Saccade  Saccade  52.7   nan  50.0  1
2  Saccade  Saccade  157.7   105.0  50.0  1
3  Saccade  Saccade  60.9   -96.8  50.0  1
4  Fixation  Fixation  12.2   -48.7  1417.0  2
5  Fixation  Fixation  2.0   -10.3  1417.0  2
6  Fixation  Fixation  1.9   -0.1  1417.0  2
7  Fixation  Fixation  16.5   14.6  1417.0  2
8  Fixation  Fixation  17.1   0.6  1417.0  2
9  Fixation  Fixation  8.7   -8.4  1417.0  2
10  Fixation  Fixation  9.6   0.9  1417.0  2
11  Fixation  Fixation  7.7   -1.9  1417.0  2
12  Fixation  Fixation  3.6   -4.1  1417.0  2
13  Fixation  Fixation  2.3   -1.3  1417.0  2
14  Fixation  Fixation  3.1   0.9  1417.0  2
15  Fixation  Fixation  3.5   0.4  1417.0  2
16  Fixation  Fixation  1.7   -1.8  1417.0  2
17  Fixation  Fixation  1.7   -0.1  1417.0  2
18  Fixation  Fixation  8.5   6.8  1417.0  2
19  Fixation  Fixation  0.4   -8.1  1417.0  2
20  Fixation  Fixation  2.9   2.5  1417.0  2
21  Fixation  Fixation  3.2   0.4  1417.0  2
22  Fixation  Fixation  0.9   -2.4  1417.0  2
23  Fixation  Fixation  7.2   6.4  1417.0  2
24  Fixation  Fixation  3.4   -3.9  1417.0  2
25  Fixation  Fixation  0.6   -2.7  1417.0  2
26  Fixation  Fixation  6.7   6.1  1417.0  2
27  Fixation  Fixation  18.4   11.7  1417.0  2
28  Fixation  Fixation  1.3   -17.1  1417.0  2
29  Fixation  Fixation  6.1   4.8  1417.0  2
30  Fixation  Fixation  6.4   0.3  1417.0  2
31  Fixation  Fixation  7.0   0.5  1417.0  2
32  Fixation  Fixation  0.2   -6.7  1417.0  2
33  Fixation  Fixation  2.7   2.5  1417.0  2
34  Fixation  Fixation  3.8   1.1  1417.0  2
35  Fixation  Fixation  7.4   3.6  1417.0  2
36  Fixation  Fixation  9.8   2.5  1417.0  2
37  Fixation  Fixation  0.7   -9.1  1417.0  2
38  Fixation  Fixation  1.7   1.0  1417.0  2
39  Fixation  Fixation  3.5   1.8  1417.0  2
40  Fixation  Fixation  1.7   -1.8  1417.0  2
41  Fixation  Fixation  1.2   -0.5  1417.0  2
42  Fixation  Fixation  12.8   11.6  1417.0  2
43  Fixation  Fixation  3.3   -9.5  1417.0  2
44  Fixation  Fixation  0.6   -2.7  1417.0  2
45  Fixation  Fixation  0.3   -0.3  1417.0  2
46  Fixation  Fixation  0.6   0.3  1417.0  2
47  Fixation  Fixation  1.6   1.0  1417.0  2
48  Fixation  Fixation  0.7   -0.9  1417.0  2
49  Fixation  Fixation  4.1   3.5  1417.0  2
50  Fixation  Fixation  16.9   12.8  1417.0  2
51  Fixation  Fixation  3.5   -13.3  1417.0  2
52  Fixation  Fixation  0.1   -3.4  1417.0  2
53  Fixation  Fixation  7.2   7.1  1417.0  2
54  Fixation  Fixation  10.6   3.4  1417.0  2
55  Fixation  Fixation  4.1   -6.5  1417.0  2
56  Fixation  Fixation  4.0   -0.0  1417.0  2
57  Fixation  Fixation  0.7   -3.3  1417.0  2
58  Fixation  Fixation  4.2   3.4  1417.0  2
59  Fixation  Fixation  6.9   2.7  1417.0  2
60  Fixation  Fixation  2.1   -4.8  1417.0  2
61  Fixation  Fixation  1.0   -1.1  1417.0  2
62  Fixation  Fixation  14.0   13.0  1417.0  2
63  Fixation  Fixation  14.8   0.8  1417.0  2
64  Fixation  Fixation  8.0   -6.8  1417.0  2
65  Fixation  Fixation  8.7   0.7  1417.0  2
66  Fixation  Fixation  8.7   -0.0  1417.0  2
67  Fixation  Fixation  7.3   -1.4  1417.0  2
68  Fixation  Fixation  12.4   5.0  1417.0  2
69  Fixation  Fixation  1.8   -10.6  1417.0  2
70  Fixation  Fixation  4.2   2.4  1417.0  2
71  Fixation  Fixation  0.3   -3.9  1417.0  2
72  Fixation  Fixation  6.0   5.7  1417.0  2
73  Fixation  Fixation  5.4   -0.6  1417.0  2
74  Fixation  Fixation  0.5   -4.9  1417.0  2
75  Fixation  Fixation  3.9   3.4  1417.0  2
