ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
0  Fixation  Fixation  nan   nan  17.0  1
1  Saccade  Saccade  52.7   nan  67.0  1
2  Saccade  Saccade  157.7   104.9  67.0  1
3  Saccade  Saccade  86.8   -70.8  67.0  1
4  Saccade  Saccade  38.1   -48.7  67.0  1
5  Fixation  Fixation  16.8   -21.3  1433.0  2
6  Fixation  Fixation  19.9   3.1  1433.0  2
7  Fixation  Fixation  19.0   -0.9  1433.0  2
8  Fixation  Fixation  29.5   10.5  1433.0  2
9  Fixation  Fixation  22.6   -6.9  1433.0  2
10  Fixation  Fixation  9.0   -13.6  1433.0  2
11  Fixation  Fixation  21.0   11.9  1433.0  2
12  Fixation  Fixation  17.5   -3.5  1433.0  2
13  Fixation  Fixation  7.8   -9.6  1433.0  2
14  Fixation  Fixation  9.3   1.5  1433.0  2
15  Fixation  Fixation  10.0   0.7  1433.0  2
16  Fixation  Fixation  11.1   1.1  1433.0  2
17  Fixation  Fixation  10.9   -0.2  1433.0  2
18  Fixation  Fixation  18.8   7.9  1433.0  2
19  Fixation  Fixation  2.5   -16.3  1433.0  2
20  Fixation  Fixation  12.3   9.8  1433.0  2
21  Fixation  Fixation  9.8   -2.4  1433.0  2
22  Fixation  Fixation  2.5   -7.3  1433.0  2
23  Fixation  Fixation  12.3   9.8  1433.0  2
24  Fixation  Fixation  3.2   -9.2  1433.0  2
25  Fixation  Fixation  5.6   2.4  1433.0  2
26  Fixation  Fixation  11.4   5.8  1433.0  2
27  Fixation  Fixation  29.5   18.2  1433.0  2
28  Fixation  Fixation  19.1   -10.5  1433.0  2
29  Fixation  Fixation  15.4   -3.7  1433.0  2
30  Fixation  Fixation  17.4   2.1  1433.0  2
31  Fixation  Fixation  11.3   -6.1  1433.0  2
32  Fixation  Fixation  4.6   -6.7  1433.0  2
33  Fixation  Fixation  3.8   -0.8  1433.0  2
34  Fixation  Fixation  10.1   6.3  1433.0  2
35  Fixation  Fixation  17.9   7.8  1433.0  2
36  Fixation  Fixation  11.7   -6.2  1433.0  2
37  Fixation  Fixation  1.6   -10.1  1433.0  2
38  Fixation  Fixation  9.7   8.2  1433.0  2
39  Fixation  Fixation  9.4   -0.3  1433.0  2
40  Fixation  Fixation  1.6   -7.8  1433.0  2
41  Fixation  Fixation  7.1   5.6  1433.0  2
42  Fixation  Fixation  18.9   11.8  1433.0  2
43  Fixation  Fixation  4.8   -14.1  1433.0  2
44  Fixation  Fixation  18.2   13.4  1433.0  2
45  Fixation  Fixation  23.6   5.4  1433.0  2
46  Fixation  Fixation  7.0   -16.6  1433.0  2
47  Fixation  Fixation  3.0   -4.0  1433.0  2
48  Fixation  Fixation  4.5   1.5  1433.0  2
49  Fixation  Fixation  17.3   12.9  1433.0  2
50  Fixation  Fixation  18.5   1.2  1433.0  2
51  Fixation  Fixation  22.4   3.9  1433.0  2
52  Fixation  Fixation  12.3   -10.0  1433.0  2
53  Fixation  Fixation  12.3   -0.0  1433.0  2
54  Fixation  Fixation  10.9   -1.4  1433.0  2
55  Fixation  Fixation  25.5   14.6  1433.0  2
56  Fixation  Fixation  15.7   -9.8  1433.0  2
57  Fixation  Fixation  3.6   -12.1  1433.0  2
58  Fixation  Fixation  8.3   4.7  1433.0  2
59  Fixation  Fixation  16.2   7.9  1433.0  2
60  Fixation  Fixation  5.1   -11.0  1433.0  2
61  Fixation  Fixation  14.0   8.9  1433.0  2
62  Fixation  Fixation  15.2   1.2  1433.0  2
63  Fixation  Fixation  18.3   3.1  1433.0  2
64  Fixation  Fixation  18.3   0.1  1433.0  2
65  Fixation  Fixation  9.4   -9.0  1433.0  2
66  Fixation  Fixation  10.9   1.5  1433.0  2
67  Fixation  Fixation  16.4   5.5  1433.0  2
68  Fixation  Fixation  14.0   -2.4  1433.0  2
69  Fixation  Fixation  13.0   -1.0  1433.0  2
70  Fixation  Fixation  4.6   -8.4  1433.0  2
71  Fixation  Fixation  1.4   -3.2  1433.0  2
72  Fixation  Fixation  11.1   9.7  1433.0  2
73  Fixation  Fixation  13.1   2.0  1433.0  2
74  Fixation  Fixation  11.4   -1.7  1433.0  2
75  Fixation  Fixation  7.8   -3.6  1433.0  2
76  Fixation  Fixation  12.3   4.4  1433.0  2
77  Fixation  Fixation  20.5   8.2  1433.0  2
78  Fixation  Fixation  6.3   -14.2  1433.0  2
79  Fixation  Fixation  4.2   -2.1  1433.0  2
80  Fixation  Fixation  16.1   11.8  1433.0  2
81  Fixation  Fixation  18.6   2.6  1433.0  2
82  Fixation  Fixation  14.8   -3.8  1433.0  2
83  Fixation  Fixation  7.8   -7.1  1433.0  2
84  Fixation  Fixation  12.3   4.5  1433.0  2
85  Fixation  Fixation  4.9   -7.4  1433.0  2
86  Fixation  Fixation  10.3   5.5  1433.0  2
87  Fixation  Fixation  14.4   4.1  1433.0  2
88  Fixation  Fixation  10.5   -3.9  1433.0  2
89  Fixation  Fixation  16.2   5.6  1433.0  2
90  Fixation  Fixation  15.8   -0.3  1433.0  2
91  Saccade  Saccade  156.1   140.3  17.0  2
92  EyesNotFound  EyesNotFound  nan   nan  133.0  1
93  EyesNotFound  EyesNotFound  nan   nan  133.0  1
94  EyesNotFound  EyesNotFound  nan   nan  133.0  1
95  EyesNotFound  EyesNotFound  nan   nan  133.0  1
96  EyesNotFound  EyesNotFound  nan   nan  133.0  1
97  EyesNotFound  EyesNotFound  nan   nan  133.0  1
98  EyesNotFound  EyesNotFound  nan   nan  133.0  1
99  EyesNotFound  EyesNotFound  nan   nan  133.0  1
100  Saccade  Saccade  nan   nan  34.0  3
101  Saccade  Saccade  164.7   nan  34.0  3
102  Fixation  Fixation  17.5   -147.2  700.0  3
103  Fixation  Fixation  16.4   -1.1  700.0  3
104  Fixation  Fixation  21.2   4.8  700.0  3
105  Fixation  Fixation  9.1   -12.1  700.0  3
106  Fixation  Fixation  20.0   10.9  700.0  3
107  Fixation  Fixation  6.5   -13.5  700.0  3
108  Fixation  Fixation  12.5   6.0  700.0  3
109  Fixation  Fixation  7.5   -5.0  700.0  3
110  Fixation  Fixation  8.0   0.5  700.0  3
111  Fixation  Fixation  12.6   4.6  700.0  3
112  Fixation  Fixation  10.1   -2.5  700.0  3
113  Fixation  Fixation  11.7   1.6  700.0  3
114  Fixation  Fixation  3.1   -8.6  700.0  3
115  Fixation  Fixation  9.3   6.2  700.0  3
116  Fixation  Fixation  17.4   8.1  700.0  3
117  Fixation  Fixation  14.1   -3.3  700.0  3
118  Fixation  Fixation  9.0   -5.1  700.0  3
119  Fixation  Fixation  15.1   6.2  700.0  3
120  Fixation  Fixation  10.7   -4.4  700.0  3
121  Fixation  Fixation  11.2   0.4  700.0  3
122  Fixation  Fixation  6.4   -4.8  700.0  3
123  Fixation  Fixation  4.1   -2.3  700.0  3
124  Fixation  Fixation  5.0   0.9  700.0  3
125  Fixation  Fixation  11.9   6.9  700.0  3
126  Fixation  Fixation  1.9   -10.0  700.0  3
127  Fixation  Fixation  4.4   2.5  700.0  3
128  Fixation  Fixation  7.8   3.4  700.0  3
129  Fixation  Fixation  15.6   7.8  700.0  3
130  Fixation  Fixation  27.8   12.2  700.0  3
131  Fixation  Fixation  25.9   -1.9  700.0  3
132  Fixation  Fixation  15.6   -10.4  700.0  3
133  Fixation  Fixation  10.6   -5.0  700.0  3
134  Fixation  Fixation  14.5   4.0  700.0  3
135  Fixation  Fixation  24.6   10.1  700.0  3
136  Fixation  Fixation  20.4   -4.2  700.0  3
137  Fixation  Fixation  16.6   -3.8  700.0  3
138  Fixation  Fixation  9.3   -7.3  700.0  3
139  Fixation  Fixation  4.2   -5.1  700.0  3
140  Fixation  Fixation  9.5   5.3  700.0  3
141  Fixation  Fixation  15.7   6.2  700.0  3
142  Fixation  Fixation  12.1   -3.6  700.0  3
143  Fixation  Fixation  24.4   12.4  700.0  3
144  Saccade  Saccade  84.6   60.1  33.0  4
145  Saccade  Saccade  31.7   -52.9  33.0  4
146  Fixation  Fixation  11.5   -20.2  183.0  4
147  Fixation  Fixation  4.7   -6.9  183.0  4
148  Fixation  Fixation  2.8   -1.9  183.0  4
149  Fixation  Fixation  11.0   8.2  183.0  4
150  Fixation  Fixation  4.8   -6.2  183.0  4
151  Fixation  Fixation  17.3   12.4  183.0  4
152  Fixation  Fixation  8.1   -9.2  183.0  4
153  Fixation  Fixation  20.1   12.0  183.0  4
154  Fixation  Fixation  8.4   -11.7  183.0  4
155  Fixation  Fixation  6.9   -1.5  183.0  4
156  Fixation  Fixation  5.6   -1.4  183.0  4
157  EyesNotFound  EyesNotFound  nan   nan  100.0  2
158  EyesNotFound  EyesNotFound  nan   nan  100.0  2
159  EyesNotFound  EyesNotFound  nan   nan  100.0  2
160  EyesNotFound  EyesNotFound  nan   nan  100.0  2
161  EyesNotFound  EyesNotFound  nan   nan  100.0  2
