ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
0  Fixation  Fixation  nan   nan  100.0  1
1  Fixation  Fixation  11.9   nan  100.0  1
2  Fixation  Fixation  6.5   -5.4  100.0  1
3  Fixation  Fixation  6.8   0.3  100.0  1
4  Fixation  Fixation  5.7   -1.1  100.0  1
5  Fixation  Fixation  14.3   8.7  100.0  1
6  Saccade  Saccade  231.7   217.4  50.0  1
7  Saccade  Saccade  165.6   -66.1  50.0  1
8  Saccade  Saccade  31.3   -134.3  50.0  1
9  Fixation  Fixation  0.5   -30.8  500.0  2
10  Fixation  Fixation  9.1   8.6  500.0  2
11  Fixation  Fixation  9.1   -0.1  500.0  2
12  Fixation  Fixation  12.1   3.0  500.0  2
13  Fixation  Fixation  0.1   -12.0  500.0  2
14  Fixation  Fixation  5.6   5.6  500.0  2
15  Fixation  Fixation  5.1   -0.6  500.0  2
16  Fixation  Fixation  3.0   -2.1  500.0  2
17  Fixation  Fixation  3.2   0.2  500.0  2
18  Fixation  Fixation  8.1   4.9  500.0  2
19  Fixation  Fixation  3.8   -4.3  500.0  2
20  Fixation  Fixation  1.4   -2.4  500.0  2
21  Fixation  Fixation  2.2   0.8  500.0  2
22  Fixation  Fixation  3.9   1.7  500.0  2
23  Fixation  Fixation  0.5   -3.4  500.0  2
24  Fixation  Fixation  0.5   0.0  500.0  2
25  Fixation  Fixation  2.8   2.3  500.0  2
26  Fixation  Fixation  0.4   -2.4  500.0  2
27  Fixation  Fixation  5.3   4.9  500.0  2
28  Fixation  Fixation  6.3   1.0  500.0  2
29  Fixation  Fixation  12.8   6.5  500.0  2
30  Fixation  Fixation  7.0   -5.8  500.0  2
31  Fixation  Fixation  8.7   1.7  500.0  2
32  Fixation  Fixation  3.8   -5.0  500.0  2
33  Fixation  Fixation  3.8   0.1  500.0  2
34  Fixation  Fixation  1.4   -2.5  500.0  2
35  Fixation  Fixation  2.7   1.4  500.0  2
36  Fixation  Fixation  8.2   5.5  500.0  2
37  Fixation  Fixation  7.5   -0.7  500.0  2
38  Fixation  Fixation  4.5   -3.0  500.0  2
39  Saccade  Saccade  134.5   130.0  67.0  2
40  Saccade  Saccade  62.4   -72.1  67.0  2
41  Saccade  Saccade  80.1   17.7  67.0  2
42  Saccade  Saccade  77.7   -2.4  67.0  2
43  Blink  Blink  45.1   -32.6  267.0  1
44  Blink  Blink  46.4   1.3  267.0  1
45  Blink  Blink  270.9   224.5  267.0  1
46  Blink  Blink  nan   nan  267.0  1
47  Blink  Blink  nan   nan  267.0  1
48  Blink  Blink  nan   nan  267.0  1
49  Blink  Blink  nan   nan  267.0  1
50  Blink  Blink  122.2   nan  267.0  1
51  Blink  Blink  86.2   -36.1  267.0  1
52  Blink  Blink  2.5   -83.7  267.0  1
53  Blink  Blink  0.0   -2.5  267.0  1
54  Blink  Blink  16.1   16.1  267.0  1
55  Blink  Blink  13.2   -2.9  267.0  1
56  Blink  Blink  0.0   -13.2  267.0  1
57  Blink  Blink  17.8   17.8  267.0  1
58  Blink  Blink  13.2   -4.6  267.0  1
59  Fixation  Fixation  12.0   -1.2  666.0  3
60  Fixation  Fixation  1.1   -10.9  666.0  3
61  Fixation  Fixation  4.4   3.3  666.0  3
62  Fixation  Fixation  10.3   6.0  666.0  3
63  Fixation  Fixation  8.1   -2.3  666.0  3
64  Fixation  Fixation  1.3   -6.8  666.0  3
65  Fixation  Fixation  3.4   2.1  666.0  3
66  Fixation  Fixation  7.9   4.5  666.0  3
67  Fixation  Fixation  1.4   -6.5  666.0  3
68  Fixation  Fixation  2.1   0.8  666.0  3
69  Fixation  Fixation  10.7   8.5  666.0  3
70  Fixation  Fixation  8.1   -2.6  666.0  3
71  Fixation  Fixation  7.6   -0.4  666.0  3
72  Fixation  Fixation  2.7   -4.9  666.0  3
73  Fixation  Fixation  5.1   2.4  666.0  3
74  Fixation  Fixation  2.5   -2.6  666.0  3
75  Fixation  Fixation  4.0   1.5  666.0  3
76  Fixation  Fixation  0.0   -4.0  666.0  3
77  Fixation  Fixation  1.6   1.6  666.0  3
78  Fixation  Fixation  11.7   10.0  666.0  3
79  Fixation  Fixation  10.6   -1.0  666.0  3
80  Fixation  Fixation  12.2   1.6  666.0  3
81  Fixation  Fixation  8.3   -4.0  666.0  3
82  Fixation  Fixation  5.7   -2.6  666.0  3
83  Fixation  Fixation  0.3   -5.4  666.0  3
84  Fixation  Fixation  5.7   5.4  666.0  3
85  Fixation  Fixation  1.1   -4.6  666.0  3
86  Fixation  Fixation  4.3   3.2  666.0  3
87  Fixation  Fixation  4.3   0.0  666.0  3
88  Fixation  Fixation  8.7   4.4  666.0  3
89  Fixation  Fixation  1.4   -7.3  666.0  3
90  Fixation  Fixation  3.6   2.2  666.0  3
91  Fixation  Fixation  1.3   -2.2  666.0  3
92  Fixation  Fixation  4.1   2.8  666.0  3
93  Fixation  Fixation  6.9   2.7  666.0  3
94  Fixation  Fixation  10.5   3.6  666.0  3
95  Fixation  Fixation  1.2   -9.3  666.0  3
96  Fixation  Fixation  0.0   -1.2  666.0  3
97  Fixation  Fixation  5.0   5.0  666.0  3
98  Fixation  Fixation  18.7   13.8  666.0  3
99  Saccade  Saccade  85.9   67.2  17.0  3
100  Fixation  Fixation  12.3   -73.7  1750.0  4
101  Fixation  Fixation  2.0   -10.3  1750.0  4
102  Fixation  Fixation  11.8   9.8  1750.0  4
103  Fixation  Fixation  0.3   -11.5  1750.0  4
104  Fixation  Fixation  2.0   1.7  1750.0  4
105  Fixation  Fixation  13.0   11.0  1750.0  4
106  Fixation  Fixation  5.4   -7.6  1750.0  4
107  Fixation  Fixation  0.3   -5.1  1750.0  4
108  Fixation  Fixation  0.0   -0.3  1750.0  4
109  Fixation  Fixation  9.3   9.3  1750.0  4
110  Fixation  Fixation  1.4   -7.9  1750.0  4
111  Fixation  Fixation  3.7   2.2  1750.0  4
112  Fixation  Fixation  1.8   -1.9  1750.0  4
113  Fixation  Fixation  4.2   2.4  1750.0  4
114  Fixation  Fixation  3.2   -1.0  1750.0  4
115  Fixation  Fixation  0.1   -3.1  1750.0  4
116  Fixation  Fixation  0.5   0.4  1750.0  4
117  Fixation  Fixation  7.0   6.5  1750.0  4
118  Fixation  Fixation  7.3   0.3  1750.0  4
119  Fixation  Fixation  5.2   -2.1  1750.0  4
120  Fixation  Fixation  0.5   -4.7  1750.0  4
121  Fixation  Fixation  7.4   6.8  1750.0  4
122  Fixation  Fixation  5.1   -2.3  1750.0  4
123  Fixation  Fixation  6.7   1.6  1750.0  4
