ID  MINE    VEL   DIFF   DUR    GROUP_ID
0  Fixation   nan   nan  141.0  1
1  Fixation   29.5   nan  141.0  1
2  Fixation   7.7   -21.9  141.0  1
3  Fixation   7.4   -0.3  141.0  1
4  Fixation   1.6   -5.8  141.0  1
5  Fixation   1.3   -0.3  141.0  1
6  Fixation   2.6   1.3  141.0  1
7  Fixation   9.5   7.0  141.0  1
8  Saccade   56.3   46.8  33.0  1
9  Saccade   158.6   102.3  33.0  1
10  Fixation   6.0   -152.7  184.0  2
11  Fixation   0.5   -5.4  184.0  2
12  Fixation   6.6   6.1  184.0  2
13  Fixation   0.0   -6.6  184.0  2
14  Fixation   5.4   5.4  184.0  2
15  Fixation   0.0   -5.4  184.0  2
16  Fixation   6.9   6.9  184.0  2
17  Fixation   0.3   -6.6  184.0  2
18  Fixation   0.4   0.1  184.0  2
19  Fixation   0.0   -0.4  184.0  2
20  Fixation   26.9   26.9  184.0  2
21  Saccade   271.0   244.2  100.0  2
22  Saccade   212.2   -58.8  100.0  2
23  Saccade   195.5   -16.7  100.0  2
24  Saccade   247.3   51.8  100.0  2
25  Saccade   248.6   1.3  100.0  2
26  Saccade   32.8   -215.8  100.0  2
27  Fixation   1.6   -31.2  183.0  3
28  Fixation   7.0   5.4  183.0  3
29  Fixation   0.1   -6.9  183.0  3
30  Fixation   2.6   2.5  183.0  3
31  Fixation   11.0   8.4  183.0  3
32  Fixation   0.0   -11.0  183.0  3
33  Fixation   1.5   1.5  183.0  3
34  Fixation   14.5   13.1  183.0  3
35  Fixation   0.0   -14.5  183.0  3
36  Fixation   2.3   2.3  183.0  3
37  Fixation   18.7   16.4  183.0  3
38  Saccade   90.1   71.4  17.0  3
39  Fixation   3.7   -86.4  333.0  4
40  Fixation   5.7   2.0  333.0  4
41  Fixation   0.8   -5.0  333.0  4
42  Fixation   9.1   8.4  333.0  4
43  Fixation   0.9   -8.2  333.0  4
44  Fixation   0.0   -0.9  333.0  4
45  Fixation   2.0   2.0  333.0  4
46  Fixation   4.4   2.4  333.0  4
47  Fixation   7.4   3.0  333.0  4
48  Fixation   8.6   1.2  333.0  4
49  Fixation   3.9   -4.7  333.0  4
50  Fixation   6.1   2.1  333.0  4
51  Fixation   0.6   -5.5  333.0  4
52  Fixation   14.2   13.6  333.0  4
53  Fixation   1.8   -12.5  333.0  4
54  Fixation   9.0   7.3  333.0  4
55  Fixation   0.8   -8.2  333.0  4
56  Fixation   1.3   0.5  333.0  4
57  Fixation   16.9   15.6  333.0  4
58  Fixation   0.0   -16.9  333.0  4
59  Saccade   46.5   46.5  17.0  4
60  Fixation   0.0   -46.5  416.0  5
61  Fixation   15.4   15.4  416.0  5
62  Fixation   6.7   -8.7  416.0  5
63  Fixation   7.2   0.5  416.0  5
64  Fixation   2.9   -4.3  416.0  5
65  Fixation   1.6   -1.2  416.0  5
66  Fixation   8.6   7.0  416.0  5
67  Fixation   0.0   -8.6  416.0  5
68  Fixation   4.0   4.0  416.0  5
69  Fixation   0.0   -4.0  416.0  5
70  Fixation   1.2   1.2  416.0  5
71  Fixation   8.4   7.2  416.0  5
72  Fixation   1.0   -7.3  416.0  5
73  Fixation   4.4   3.4  416.0  5
74  Fixation   3.8   -0.6  416.0  5
75  Fixation   1.8   -2.0  416.0  5
76  Fixation   0.1   -1.7  416.0  5
77  Fixation   3.7   3.5  416.0  5
78  Fixation   4.2   0.5  416.0  5
79  Fixation   6.9   2.7  416.0  5
80  Fixation   27.9   21.0  416.0  5
81  Fixation   0.0   -27.9  416.0  5
82  Fixation   4.6   4.6  416.0  5
83  Fixation   3.5   -1.1  416.0  5
84  Fixation   3.8   0.4  416.0  5
85  Saccade   131.7   127.9  67.0  5
86  Saccade   406.2   274.5  67.0  5
87  Saccade   262.2   -144.0  67.0  5
88  Saccade   152.7   -109.6  67.0  5
89  Fixation   7.1   -145.6  717.0  6
90  Fixation   1.9   -5.1  717.0  6
91  Fixation   10.9   9.0  717.0  6
92  Fixation   2.2   -8.8  717.0  6
93  Fixation   8.6   6.4  717.0  6
94  Fixation   12.6   4.0  717.0  6
95  Fixation   2.2   -10.5  717.0  6
96  Fixation   10.6   8.5  717.0  6
97  Fixation   5.2   -5.4  717.0  6
98  Fixation   2.8   -2.4  717.0  6
99  Fixation   3.9   1.1  717.0  6
100  Fixation   4.8   0.9  717.0  6
101  Fixation   0.7   -4.1  717.0  6
102  Fixation   7.7   7.0  717.0  6
103  Fixation   6.0   -1.7  717.0  6
104  Fixation   2.9   -3.1  717.0  6
105  Fixation   9.2   6.3  717.0  6
106  Fixation   0.3   -8.9  717.0  6
107  Fixation   0.1   -0.2  717.0  6
108  Fixation   7.9   7.8  717.0  6
109  Fixation   0.0   -7.9  717.0  6
110  Fixation   0.4   0.4  717.0  6
111  Fixation   0.8   0.4  717.0  6
112  Fixation   12.3   11.5  717.0  6
113  Fixation   5.6   -6.7  717.0  6
114  Fixation   6.7   1.1  717.0  6
115  Fixation   1.0   -5.7  717.0  6
116  Fixation   0.0   -1.0  717.0  6
117  Fixation   2.5   2.5  717.0  6
118  Fixation   8.0   5.5  717.0  6
