device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,system_time_now,left_eye_openness_value,right_eye_openness_value
2132468470,497039937944,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,1742986638473,nan,nan
2132485137,497039954582,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,1742986638499,nan,nan
2132499755,497039969182,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,1742986638548,nan,nan
2132514373,497039983799,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,1742986638548,nan,nan
2132528991,497039998415,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,1742986638548,nan,nan
2132543612,497040013035,"(0.3361623287200928, 0.9038189649581909)","(-90.92994689941406, 36.334373474121094, 2.5828633308410645)",1,2.8058624267578125,1,"(-41.44105529785156, 58.35950469970703, 672.7310791015625)",1,"(0.32118526101112366, 0.9226126670837402)","(-99.2421875, 30.82105827331543, 0.5762094855308533)",1,2.7509307861328125,1,"(19.459369659423828, 61.66851806640625, 673.19921875)",1,1742986638548,11.99755859375,10.491195678710938
2132560279,497040029700,"(0.33665964007377625, 0.9024077653884888)","(-90.65391540527344, 36.74837112426758, 2.733520030975342)",1,2.7534027099609375,1,"(-41.43197250366211, 58.369503021240234, 672.6937866210938)",1,"(0.31261149048805237, 0.9168874621391296)","(-104.0006332397461, 32.500572204589844, 1.1874911785125732)",1,2.7046356201171875,1,"(19.45458984375, 61.68785095214844, 673.1240234375)",1,1742986638570,11.891159057617188,10.824844360351562
2132576946,497040046377,"(0.3340500295162201, 0.9057103395462036)","(-92.10224914550781, 35.77949142456055, 2.3808963298797607)",1,2.7817535400390625,1,"(-41.428466796875, 58.36416244506836, 672.6055908203125)",1,"(0.3116326332092285, 0.9319007992744446)","(-104.54389190673828, 28.096275329589844, -0.4155172109603882)",1,2.770599365234375,1,"(19.45779800415039, 61.706180572509766, 673.1988525390625)",1,1742986638584,11.768447875976562,10.819854736328125
2132593613,497040063061,"(0.3347841799259186, 0.9099571704864502)","(-91.69477844238281, 34.53366470336914, 1.9274466037750244)",1,2.7415618896484375,1,"(-41.431884765625, 58.369239807128906, 672.6685791015625)",1,"(0.31639236211776733, 0.9240821003913879)","(-101.9022445678711, 30.389955520629883, 0.4192686975002289)",1,2.755615234375,1,"(19.463951110839844, 61.714759826660156, 673.2109375)",1,1742986638603,11.843704223632812,10.724136352539062
2132610283,497040079748,"(0.3381900191307068, 0.9110238552093506)","(-89.8045654296875, 34.22074890136719, 1.813544511795044)",1,2.793914794921875,1,"(-41.42577362060547, 58.371334075927734, 672.6942749023438)",1,"(0.3149537146091461, 0.921808660030365)","(-102.70068359375, 31.05690574645996, 0.6620186567306519)",1,2.7324981689453125,1,"(19.482421875, 61.71070861816406, 673.2478637695312)",1,1742986638619,11.969650268554688,10.6414794921875
