device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,left_eye_openness_value,right_eye_openness_value
3759804553,1335822978350,"(0.5534173846244812, 0.2692762017250061)","(29.646617889404297, 222.48402404785156, 70.33576965332031)",1,3.09210205078125,1,"(-27.502593994140625, 76.00140380859375, 694.7283935546875)",1,"(0.5856107473373413, 0.2518357038497925)","(47.51395797729492, 227.60035705566406, 72.1979751586914)",1,2.9475250244140625,1,"(32.87499237060547, 79.75425720214844, 693.4117431640625)",1,10.662490844726562,9.953872680664062
3759821220,1335822994999,"(0.5676252245903015, 0.270285040140152)","(37.5319938659668, 222.1880340576172, 70.22808074951172)",1,3.0965423583984375,1,"(-27.316089630126953, 76.06018829345703, 694.904541015625)",1,"(0.5921521186828613, 0.2557432949542999)","(51.144412994384766, 226.4540252685547, 71.78075408935547)",1,2.961212158203125,1,"(33.20926284790039, 79.69352722167969, 693.3250732421875)",1,10.759933471679688,10.580123901367188
3759837887,1335823011629,"(0.5736924409866333, 0.26349303126335144)","(40.89927291870117, 224.18057250976562, 70.95325469970703)",1,3.1150360107421875,1,"(-27.181461334228516, 76.01194763183594, 694.5723266601562)",1,"(0.5910680294036865, 0.2537349760532379)","(50.54270935058594, 227.04318237304688, 71.99520111083984)",1,2.9253387451171875,1,"(33.46636962890625, 79.58184814453125, 692.9120483398438)",1,10.850006103515625,10.73358154296875
3759854553,1335823028254,"(0.5800982713699341, 0.2659943699836731)","(44.45452880859375, 223.44676208496094, 70.68620300292969)",1,3.088043212890625,1,"(-26.981773376464844, 76.10807800292969, 694.4940185546875)",1,"(0.5928142070770264, 0.24870428442955017)","(51.51186752319336, 228.51898193359375, 72.53233337402344)",1,2.931732177734375,1,"(33.74668884277344, 79.61968994140625, 693.10986328125)",1,11.085891723632812,10.72760009765625
3759871220,1335823044898,"(0.578824520111084, 0.2718772292137146)","(43.747589111328125, 221.72096252441406, 70.0580825805664)",1,3.114501953125,1,"(-26.771358489990234, 76.13493347167969, 694.2327270507812)",1,"(0.5926113724708557, 0.25181281566619873)","(51.399288177490234, 227.60708618164062, 72.20037841796875)",1,2.93133544921875,1,"(34.012603759765625, 79.67494201660156, 693.4017333984375)",1,11.164169311523438,10.880905151367188
3759887889,1335823061560,"(0.5796786546707153, 0.2578386962413788)","(44.22159194946289, 225.8392791748047, 71.55706787109375)",1,3.0742645263671875,1,"(-26.631017684936523, 76.23194885253906, 694.7659301757812)",1,"(0.5906754732131958, 0.252890408039093)","(50.32486343383789, 227.29092407226562, 72.08541870117188)",1,2.934906005859375,1,"(34.230377197265625, 79.68010711669922, 693.3916625976562)",1,11.441604614257812,10.869735717773438
3759904555,1335823078220,"(0.5857312679290771, 0.2598155736923218)","(47.580814361572266, 225.25938415527344, 71.34593963623047)",1,3.1023406982421875,1,"(-26.479124069213867, 76.23593139648438, 694.2841796875)",1,"(0.5915932059288025, 0.252578467130661)","(50.83421325683594, 227.3824462890625, 72.11868286132812)",1,2.918487548828125,1,"(34.40544128417969, 79.68104553222656, 693.3472290039062)",1,11.154617309570312,10.93994140625
3759921222,1335823094891,"(0.5800135135650635, 0.2776433825492859)","(44.407501220703125, 220.02940368652344, 69.44237518310547)",1,3.1021881103515625,1,"(-26.33310317993164, 76.35799407958984, 694.417236328125)",1,"(0.59101802110672, 0.25228366255760193)","(50.514984130859375, 227.4689483642578, 72.15013885498047)",1,2.9412689208984375,1,"(34.556026458740234, 79.71532440185547, 693.5039672851562)",1,11.090316772460938,10.933273315429688
3759937889,1335823111564,"(0.5842922329902649, 0.22862368822097778)","(46.782161712646484, 234.4098358154297, 74.67642974853516)",1,3.0731201171875,1,"(-26.179794311523438, 76.48922729492188, 694.6029052734375)",1,"(0.5958483815193176, 0.2139521688222885)","(53.195823669433594, 238.7138671875, 76.24300384521484)",1,2.9631195068359375,1,"(34.73431396484375, 79.87896728515625, 693.9393310546875)",1,10.977340698242188,11.041748046875
3759954555,1335823128237,"(0.6058412790298462, 0.1455283761024475)","(58.74189376831055, 258.7867126464844, 83.54885864257812)",1,3.084808349609375,1,"(-25.864805221557617, 76.84288787841797, 694.7362060546875)",1,"(0.6223313808441162, 0.1226220577955246)","(67.8938980102539, 265.5065002441406, 85.99471282958984)",1,2.906494140625,1,"(34.79640579223633, 80.12786102294922, 693.852294921875)",1,11.324005126953125,10.529281616210938
3759971224,1335823144903,"(0.6110855937004089, 0.12815222144126892)","(61.65248489379883, 263.8841552734375, 85.40422058105469)",1,3.0458526611328125,1,"(-25.81456184387207, 76.8706283569336, 694.6201782226562)",1,"(0.6143209934234619, 0.13515405356884003)","(63.448116302490234, 261.8301086425781, 84.65662384033203)",1,2.8967742919921875,1,"(34.9168815612793, 80.20471954345703, 693.9598388671875)",1,10.8594970703125,10.597457885742188
3759987889,1335823161563,"(0.6069917678833008, 0.1257631927728653)","(59.38040542602539, 264.58502197265625, 85.6592788696289)",1,3.0443267822265625,1,"(-25.820560455322266, 76.8653564453125, 694.592529296875)",1,"(0.6227234601974487, 0.13745668530464172)","(68.11148834228516, 261.15460205078125, 84.41073608398438)",1,2.9216461181640625,1,"(34.95866775512695, 80.17877197265625, 693.8743896484375)",1,10.78570556640625,10.531631469726562
3760004555,1335823178225,"(0.6075402498245239, 0.12562601268291473)","(59.684814453125, 264.6252746582031, 85.67396545410156)",1,3.0896453857421875,1,"(-25.825212478637695, 76.86201477050781, 694.5521240234375)",1,"(0.6206839680671692, 0.12984462082386017)","(66.97954559326172, 263.3876953125, 85.22350311279297)",1,2.9359893798828125,1,"(34.97885513305664, 80.17506408691406, 693.8985595703125)",1,10.946624755859375,10.701858520507812
3760021224,1335823194891,"(0.6056787371635437, 0.12671925127506256)","(58.651649475097656, 264.3045349121094, 85.55721282958984)",1,3.099853515625,1,"(-25.821887969970703, 76.86087036132812, 694.60498046875)",1,"(0.6234362721443176, 0.12378322333097458)","(68.50711822509766, 265.1658630371094, 85.87069702148438)",1,2.9360504150390625,1,"(34.998992919921875, 80.140869140625, 693.8577270507812)",1,10.938583374023438,10.779815673828125
3760037893,1335823211579,"(0.6109454035758972, 0.13911116123199463)","(61.574649810791016, 260.66925048828125, 84.23404693603516)",1,3.0833892822265625,1,"(-25.81696891784668, 76.86814880371094, 694.79052734375)",1,"(0.6226691603660583, 0.12362312525510788)","(68.08135986328125, 265.21282958984375, 85.88780212402344)",1,2.919586181640625,1,"(35.02274703979492, 80.08697509765625, 693.72119140625)",1,10.923599243164062,10.544998168945312
3760054559,1335823228265,"(0.611851155757904, 0.13064976036548615)","(62.07737731933594, 263.1515197753906, 85.13751983642578)",1,3.0621795654296875,1,"(-25.781524658203125, 76.80046081542969, 694.6744995117188)",1,"(0.6182051301002502, 0.13196446001529694)","(65.60380554199219, 262.7657775878906, 84.99718475341797)",1,2.9124298095703125,1,"(35.071861267089844, 80.03670501708984, 693.555908203125)",1,10.8770751953125,10.65325927734375
3760071226,1335823244953,"(0.6058856844902039, 0.12461188435554504)","(58.766536712646484, 264.9227600097656, 85.7822036743164)",1,3.041595458984375,1,"(-25.742462158203125, 76.76063537597656, 694.8001708984375)",1,"(0.6168466806411743, 0.12566713988780975)","(64.84988403320312, 264.6131896972656, 85.66954803466797)",1,2.920379638671875,1,"(35.1522331237793, 80.03721618652344, 693.8011474609375)",1,11.055404663085938,10.66717529296875
3760087893,1335823261618,"(0.6088478565216064, 0.11857125908136368)","(60.41054153442383, 266.69482421875, 86.4272232055664)",1,3.0299835205078125,1,"(-25.698007583618164, 76.7307357788086, 694.736328125)",1,"(0.619859516620636, 0.13643930852413177)","(66.5219955444336, 261.45306396484375, 84.51934051513672)",1,2.8939666748046875,1,"(35.19364929199219, 80.00921630859375, 693.7958374023438)",1,11.197265625,10.614791870117188
3760104559,1335823278282,"(0.6071277260780334, 0.11735156178474426)","(59.45585632324219, 267.0526428222656, 86.55744171142578)",1,3.0663604736328125,1,"(-25.662799835205078, 76.70894622802734, 694.6727294921875)",1,"(0.6223247647285461, 0.1377536654472351)","(67.89020538330078, 261.0675048828125, 84.37899780273438)",1,2.9075469970703125,1,"(35.21873474121094, 79.962890625, 693.606689453125)",1,10.935394287109375,10.69879150390625
3760121226,1335823294948,"(0.6081138253211975, 0.1201842874288559)","(60.00313949584961, 266.2216491699219, 86.25496673583984)",1,3.047882080078125,1,"(-25.632734298706055, 76.67182922363281, 694.5152587890625)",1,"(0.6210683584213257, 0.12952940165996552)","(67.19290924072266, 263.48016357421875, 85.25713348388672)",1,2.901580810546875,1,"(35.25738525390625, 79.93844604492188, 693.601318359375)",1,11.01788330078125,10.61480712890625
3760137893,1335823311613,"(0.6016878485679626, 0.14809776842594147)","(56.43674087524414, 258.0329284667969, 83.2745132446289)",1,3.0285186767578125,1,"(-25.65256690979004, 76.64208221435547, 694.700927734375)",1,"(0.6211671829223633, 0.13746854662895203)","(67.24774932861328, 261.151123046875, 84.40949249267578)",1,2.88671875,1,"(35.22162628173828, 79.85022735595703, 693.7528076171875)",1,10.67431640625,10.727615356445312
3760154560,1335823328303,"(0.5913690328598022, 0.29926618933677673)","(50.70977783203125, 213.68614196777344, 67.13357543945312)",1,3.0784149169921875,1,"(-25.774765014648438, 76.22697448730469, 694.6515502929688)",1,"(0.5970732569694519, 0.30872514843940735)","(53.87562942504883, 210.9112548828125, 66.12362670898438)",1,2.919769287109375,1,"(35.13550567626953, 79.53752136230469, 693.5360107421875)",1,11.481948852539062,10.83880615234375
3760171227,1335823344996,"(0.5691853165626526, 0.4150092601776123)","(38.3978271484375, 179.7317352294922, 54.775211334228516)",1,3.0016021728515625,1,"(-25.8367919921875, 75.86825561523438, 694.3372802734375)",1,"(0.5746749639511108, 0.4409509599208832)","(41.44460678100586, 172.12144470214844, 52.00532150268555)",1,2.9153594970703125,1,"(34.978919982910156, 79.39846801757812, 693.7396240234375)",1,11.262176513671875,10.95281982421875
3760187894,1335823361690,"(0.5405540466308594, 0.5441796183586121)","(22.507465362548828, 141.83827209472656, 40.98311233520508)",1,2.9898834228515625,1,"(-26.02069091796875, 75.4449462890625, 694.4022827148438)",1,"(0.552577555179596, 0.5467614531517029)","(29.18050193786621, 141.08084106445312, 40.70747756958008)",1,2.8894195556640625,1,"(34.69635772705078, 78.92007446289062, 693.4244384765625)",1,11.1187744140625,10.838760375976562
3760204560,1335823378357,"(0.5416377782821655, 0.7135890126228333)","(23.10892677307129, 92.1402816772461, 22.894554138183594)",1,3.000396728515625,1,"(-25.884641647338867, 75.00444030761719, 694.455078125)",1,"(0.5603111386299133, 0.7002817392349243)","(33.47263717651367, 96.04409790039062, 24.315431594848633)",1,2.8602447509765625,1,"(34.541847229003906, 78.36680603027344, 692.7216796875)",1,10.56195068359375,10.0001220703125
3760221227,1335823395025,"(0.5950228571891785, 0.8560456037521362)","(52.73766326904297, 50.34915542602539, 7.683848857879639)",1,2.99755859375,1,"(-25.76194190979004, 74.64414978027344, 694.1728515625)",1,"(0.5848164558410645, 0.8671016097068787)","(47.07312774658203, 47.10576248168945, 6.5033392906188965)",1,2.8986663818359375,1,"(34.579566955566406, 78.09710693359375, 692.9310913085938)",1,9.790176391601562,9.392669677734375
3760237893,1335823411691,"(0.5937642455101013, 0.8982004523277283)","(52.03909683227539, 37.982635498046875, 3.1827831268310547)",1,2.9837188720703125,1,"(-25.832923889160156, 74.50439453125, 694.1258544921875)",1,"(0.5840008854866028, 0.8953047394752502)","(46.62045669555664, 38.83210754394531, 3.4919495582580566)",1,2.900543212890625,1,"(34.59416198730469, 77.93077087402344, 692.6229248046875)",1,9.33184814453125,9.1812744140625
3760254558,1335823428357,"(0.5859058499336243, 0.8791889548301697)","(47.677730560302734, 43.5598258972168, 5.212718963623047)",1,2.977020263671875,1,"(-25.95752716064453, 74.41575622558594, 693.943115234375)",1,"(0.5854812860488892, 0.8909779787063599)","(47.44207763671875, 40.10139083862305, 3.9539804458618164)",1,2.9008941650390625,1,"(34.66487121582031, 77.97276306152344, 693.1876220703125)",1,9.542831420898438,9.1708984375
