device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,system_time_now,left_eye_openness_value,right_eye_openness_value
5468211464,628376356231,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,1742470166757,nan,nan
5468228130,628376372972,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,1742470166781,nan,nan
5468244844,628376389794,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,1742470166832,nan,nan
5468261558,628376406504,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,1742470166834,nan,nan
5468278274,628376423215,"(0.6210203170776367, 1.0351378917694092)","(67.16622924804688, -2.1893818378448486, -11.438652992248535)",1,3.615692138671875,1,"(-4.247605800628662, 55.88926696777344, 652.2665405273438)",1,"(0.6091213822364807, 1.0776853561401367)","(60.56237030029297, -14.67111587524414, -15.981610298156738)",1,3.479278564453125,1,"(56.56224822998047, 54.71647644042969, 654.289794921875)",1,1742470166834,10.027587890625,8.655960083007812
5468294941,628376439877,"(0.6214249134063721, 1.0445340871810913)","(67.39078521728516, -4.945876121520996, -12.441909790039062)",1,3.6014404296875,1,"(-4.310801982879639, 55.72633743286133, 652.382568359375)",1,"(0.6139498353004456, 1.0647821426391602)","(63.242149353027344, -10.885809898376465, -14.603859901428223)",1,3.4468536376953125,1,"(56.485557556152344, 54.52019500732422, 653.9652099609375)",1,1742470166848,10.210464477539062,9.01123046875
5468311600,628376456533,"(0.6281754374504089, 1.0525463819503784)","(71.13734436035156, -7.296326160430908, -13.297416687011719)",1,3.5908966064453125,1,"(-4.367967128753662, 55.513916015625, 652.158203125)",1,"(0.610895574092865, 1.0676383972167969)","(61.547019958496094, -11.72374439239502, -14.90883731842041)",1,3.438140869140625,1,"(56.46891784667969, 54.367828369140625, 654.197998046875)",1,1742470166866,9.511077880859375,9.051025390625
5468328266,628376473196,"(0.6197589039802551, 1.0494457483291626)","(66.46614837646484, -6.386728763580322, -12.966347694396973)",1,3.5811614990234375,1,"(-4.411008358001709, 55.28863525390625, 651.7940063476562)",1,"(0.6114808320999146, 1.074356198310852)","(61.8718376159668, -13.69446849822998, -15.626118659973145)",1,3.443206787109375,1,"(56.41559600830078, 54.22243881225586, 654.2921752929688)",1,1742470166883,9.841384887695312,9.201019287109375
5468344932,628376489859,"(0.6208940744400024, 1.0289674997329712)","(67.09617614746094, -0.37924277782440186, -10.779769897460938)",1,3.596710205078125,1,"(-4.462653636932373, 55.150299072265625, 652.1459350585938)",1,"(0.6128930449485779, 1.06242036819458)","(62.65559768676758, -10.192980766296387, -14.351744651794434)",1,3.43743896484375,1,"(56.320762634277344, 54.09242248535156, 654.1627197265625)",1,1742470166899,9.924392700195312,9.1431884765625
5468361600,628376506523,"(0.6244919896125793, 1.0401626825332642)","(69.09300231933594, -3.663456678390503, -11.975171089172363)",1,3.58819580078125,1,"(-4.568429946899414, 55.13177490234375, 652.3790893554688)",1,"(0.6049149036407471, 1.0786305665969849)","(58.227760314941406, -14.948400497436523, -16.082551956176758)",1,3.43927001953125,1,"(56.24909210205078, 54.033409118652344, 653.9122924804688)",1,1742470166916,9.797698974609375,9.2052001953125
5468378267,628376523186,"(0.6177492737770081, 1.0398937463760376)","(65.35081481933594, -3.5845656394958496, -11.946456909179688)",1,3.6026458740234375,1,"(-4.634081840515137, 55.074462890625, 651.790771484375)",1,"(0.6111733913421631, 1.0726170539855957)","(61.70117950439453, -13.184264183044434, -15.440438270568848)",1,3.45654296875,1,"(56.181026458740234, 54.06915283203125, 654.356689453125)",1,1742470166931,9.676864624023438,9.153045654296875
5468394933,628376539847,"(0.6212810277938843, 1.0318552255630493)","(67.31095886230469, -1.2263630628585815, -11.088177680969238)",1,3.59564208984375,1,"(-4.734935283660889, 55.181678771972656, 652.6939697265625)",1,"(0.6126430034637451, 1.065778374671936)","(62.51682662963867, -11.178091049194336, -14.71026611328125)",1,3.4597930908203125,1,"(56.060516357421875, 54.08265686035156, 654.05224609375)",1,1742470166950,10.255218505859375,9.21575927734375
5468411601,628376556511,"(0.6179001331329346, 1.0311226844787598)","(65.43455505371094, -1.0114737749099731, -11.009915351867676)",1,3.58404541015625,1,"(-4.8198933601379395, 55.19875717163086, 652.352294921875)",1,"(0.6088470816612244, 1.0720375776290894)","(60.410125732421875, -13.014300346374512, -15.378593444824219)",1,3.4503021240234375,1,"(56.01673126220703, 54.1784553527832, 654.419921875)",1,1742470166967,9.897552490234375,9.2408447265625
5468428268,628376573175,"(0.6210230588912964, 1.0415879487991333)","(67.1677474975586, -4.081589221954346, -12.127306938171387)",1,3.573974609375,1,"(-4.891092300415039, 55.27787399291992, 652.4447021484375)",1,"(0.6123524308204651, 1.0738943815231323)","(62.3556022644043, -13.559022903442383, -15.57684326171875)",1,3.4263458251953125,1,"(55.91303253173828, 54.2330322265625, 654.297119140625)",1,1742470166982,10.363632202148438,9.253036499023438
5468444934,628376589842,"(0.6163924932479858, 1.037691593170166)","(64.59782409667969, -2.9385170936584473, -11.711336135864258)",1,3.5990753173828125,1,"(-4.9549665451049805, 55.301212310791016, 652.690185546875)",1,"(0.6086201071739197, 1.0732016563415527)","(60.28411865234375, -13.35581111907959, -15.502874374389648)",1,3.4429473876953125,1,"(55.847679138183594, 54.25389862060547, 654.1875)",1,1742470166998,9.825820922851562,9.116943359375
5468461601,628376606510,"(0.6187077760696411, 1.0328603982925415)","(65.88275909423828, -1.521236777305603, -11.195484161376953)",1,3.600341796875,1,"(-4.998687744140625, 55.23908615112305, 652.86669921875)",1,"(0.6124104857444763, 1.0712884664535522)","(62.38778305053711, -12.794530868530273, -15.298601150512695)",1,3.435516357421875,1,"(55.81606674194336, 54.26943588256836, 654.5758056640625)",1,1742470167016,9.839569091796875,9.009201049804688
5468478268,628376623176,"(0.6202347874641418, 1.0390342473983765)","(66.73026275634766, -3.3324244022369385, -11.854674339294434)",1,3.59002685546875,1,"(-5.02188777923584, 55.16862869262695, 652.7474365234375)",1,"(0.6125171184539795, 1.0695929527282715)","(62.44699478149414, -12.297139167785645, -15.117582321166992)",1,3.4296417236328125,1,"(55.80719757080078, 54.228759765625, 654.9136962890625)",1,1742470167031,10.010162353515625,9.343887329101562
5468494935,628376639839,"(0.6231108903884888, 1.0353883504867554)","(68.32653045654297, -2.262868642807007, -11.46536922454834)",1,3.5788421630859375,1,"(-5.040063858032227, 55.06059265136719, 653.1368408203125)",1,"(0.6093988418579102, 1.070823073387146)","(60.71632766723633, -12.657990455627441, -15.248889923095703)",1,3.4636383056640625,1,"(55.78580093383789, 54.16458511352539, 655.061279296875)",1,1742470167048,10.478057861328125,9.232818603515625
