left_gaze_origin_validity,right_gaze_origin_validity,Recording timestamp,Gaze point left X,Gaze point left Y,Gaze point left Z,Eye position left X,Eye position left Y,Eye position left Z,Gaze point right X,Gaze point right Y,Gaze point right Z,Eye position right X,Eye position right Y,Eye position right Z,Eye movement type
1,1,1163804493,6.99419,167.49426,50.32114,-33.45432,72.0585,684.76086,7.41817,164.11134,49.08986,27.24571,77.76801,681.71277,Fixation
1,1,1163804509,6.12085,168.88727,50.82817,-33.43235,72.13388,685.41455,7.80888,168.26332,50.60107,27.29854,77.73373,681.64417,Fixation
1,1,1163804526,4.80518,167.22693,50.22387,-33.39537,72.18007,685.7431,11.40488,165.33527,49.53534,27.33503,77.68011,681.29425,Fixation
1,1,1163804543,5.29263,168.38315,50.64469,-33.31065,72.1181,685.11194,10.84669,163.87173,49.00266,27.39864,77.71825,681.50696,Fixation
1,1,1163804559,6.99537,167.62206,50.36765,-33.24326,72.12029,684.87244,8.42389,164.88016,49.36971,27.47963,77.7695,681.7832,Fixation
1,1,1163804576,5.22552,168.6355,50.73654,-33.19459,72.20229,685.26807,8.67,162.38506,48.46155,27.53242,77.74982,681.53522,Fixation
1,1,1163804593,6.20647,166.66829,50.02055,-33.15365,72.26008,685.44122,10.18761,165.42412,49.56767,27.57602,77.7486,681.43982,Fixation
1,1,1163804609,5.57189,164.6992,49.30385,-33.09686,72.27611,685.20129,10.32537,165.38106,49.55199,27.63103,77.79907,681.59045,Fixation
1,1,1163804626,6.12064,164.64078,49.28261,-33.07085,72.26382,685.07349,9.28324,162.7366,48.5895,27.64869,77.79678,681.64075,Fixation
1,1,1163804643,-0.98666,164.14781,49.10314,-33.11094,72.2881,685.32959,2.87646,159.18661,47.29741,27.61582,77.74591,681.55267,Fixation
1,1,1163804659,0.67302,161.96848,48.30993,-33.08802,72.29058,685.12451,4.19051,159.3633,47.36172,27.65453,77.79559,681.71765,Fixation
1,1,1163804676,-0.47435,160.36717,47.7271,-33.08307,72.30299,685.07343,5.08026,155.71153,46.03256,27.66888,77.85078,681.81885,Fixation
1,1,1163804693,0.96336,161.96425,48.30839,-33.07666,72.30602,685.00891,3.67579,157.61002,46.72356,27.68636,77.89131,681.90808,Fixation
1,1,1163804709,-0.09954,159.36697,47.36308,-33.07663,72.30998,685.02136,2.63535,158.18463,46.9327,27.69121,77.90134,681.93243,Fixation
1,1,1163804726,0.57382,160.48631,47.77044,-33.08685,72.31711,685.11145,3.22221,156.96645,46.48935,27.68462,77.8888,681.94629,Fixation
1,1,1163804743,0.25192,161.7296,48.22299,-33.10978,72.33618,685.31824,3.16578,157.87447,46.81984,27.67266,77.87284,681.96021,Fixation
1,1,1163804759,1.16377,160.67033,47.83747,-33.14148,72.37047,685.60126,4.02656,156.6779,46.38432,27.6539,77.85805,681.89722,Fixation
1,1,1163804776,-0.01199,160.48813,47.77116,-33.16813,72.39754,685.78076,5.82078,161.56549,48.16325,27.63368,77.86311,681.83508,Fixation
1,1,1163804793,-1.3636,161.83809,48.26248,-33.18469,72.4153,685.87,4.92778,157.5919,46.71699,27.61646,77.87553,681.73328,Fixation
1,1,1163804809,-0.53381,165.85526,49.72464,-33.18656,72.41748,685.75262,5.64862,159.29726,47.33771,27.60478,77.88465,681.61841,Fixation
1,1,1163804826,-1.90659,167.22104,50.22169,-33.18578,72.42857,685.64734,4.45213,163.59677,48.9026,27.59299,77.87978,681.50342,Fixation
1,1,1163804843,-0.37861,164.6313,49.27909,-33.19106,72.44133,685.61993,7.26852,162.21147,48.39837,27.58292,77.88518,681.46594,Fixation
1,1,1163804859,-1.41005,163.94585,49.02963,-33.20282,72.4402,685.60632,4.84314,164.15044,49.1041,27.5681,77.88383,681.45422,Fixation
1,1,1163804876,-1.34305,163.88277,49.00668,-33.21325,72.41445,685.58026,5.49304,161.58392,48.16993,27.55388,77.88351,681.49402,Fixation
1,1,1163804893,0.44547,163.00098,48.6857,-33.22282,72.37798,685.46301,3.72676,159.81345,47.52557,27.54142,77.87814,681.49445,Fixation
1,1,1163804909,0.08162,162.22188,48.40214,-33.23384,72.36481,685.37073,4.34552,160.55905,47.79693,27.5338,77.88673,681.573,Fixation
1,1,1163804926,-0.94049,164.77031,49.3297,-33.24314,72.37943,685.3562,4.64582,158.98561,47.22426,27.52769,77.90421,681.63757,Fixation
1,1,1163804943,0.58041,166.2468,49.8671,-33.24966,72.40725,685.38,5.11054,162.79672,48.61139,27.5319,77.92458,681.73993,Fixation
1,1,1163804959,2.1824,165.18591,49.48097,-33.24575,72.41005,685.35394,4.93565,163.55948,48.88904,27.53636,77.92627,681.71472,Fixation
1,1,1163804976,-0.83263,165.38254,49.55257,-33.24159,72.41188,685.39404,5.25672,162.48083,48.49643,27.54132,77.92432,681.64941,Fixation
1,1,1163804993,-0.04697,163.04288,48.70099,-33.23228,72.40974,685.38184,4.48698,160.50365,47.77679,27.54836,77.9248,681.62256,Fixation
1,1,1163805009,-0.95446,162.14011,48.37238,-33.22694,72.41032,685.43506,4.98674,161.93994,48.29955,27.55119,77.90753,681.50708,Fixation
1,1,1163805026,-0.70485,164.5793,49.26019,-33.22281,72.39726,685.44873,5.90344,161.92677,48.29477,27.55537,77.90051,681.49335,Fixation
1,1,1163805043,-0.91049,165.51857,49.60205,-33.21867,72.38924,685.51581,4.2276,162.73987,48.59076,27.56464,77.89574,681.51898,Fixation
1,1,1163805059,-1.51433,161.99942,48.32118,-33.21438,72.38308,685.59436,5.19949,160.28647,47.69775,27.57605,77.88754,681.55627,Fixation
